dataset,analysis_type,fold,seed,n,precision,recall,specificity,pr_auc,roc_auc,cost,manual_review_rate,calibration_error,tp,fp,fn,tn,target_rate,score_mean,score_std,low_rate,manual_rate,high_rate,score_psi_vs_first_order_block,mean_feature_psi_vs_first_order_block,max_feature_psi_vs_first_order_block,decision_stability,real_temporal_validation,use_in_report_as,limitation
taiwan,random_locked_test_partition_diagnostic,2,789.0,1200,0.503448275862069,0.584,0.848421052631579,0.5513384141965978,0.7771368421052631,563.0,0.30666666666666664,0.028443958627570154,146,144,104,806,0.20833333333333334,0.22333417221380117,0.19974780524601016,0.45166666666666666,0.30666666666666664,0.24166666666666667,,,,0.9873333333333334,False,LIMITATION_ONLY_OR_APPENDIX_DIAGNOSTIC,"Random partitions estimate locked-test metric variability, not temporal deployment robustness."
taiwan,random_locked_test_partition_diagnostic,3,789.0,1200,0.5272727272727272,0.56640625,0.8622881355932204,0.5480282194085485,0.7893211235434323,496.0,0.31833333333333336,0.011224082715225538,145,130,111,814,0.21333333333333335,0.21212500873129841,0.18664552013244615,0.4525,0.31833333333333336,0.22916666666666666,,,,0.9768333333333333,False,LIMITATION_ONLY_OR_APPENDIX_DIAGNOSTIC,"Random partitions estimate locked-test metric variability, not temporal deployment robustness."
taiwan,random_locked_test_partition_diagnostic,4,789.0,1200,0.5689655172413793,0.5709342560553633,0.862788144895719,0.5955702123214012,0.7926439252655928,561.5,0.28583333333333333,0.03263878389658167,165,125,124,786,0.24083333333333334,0.22181338162183906,0.19835880096806577,0.4725,0.28583333333333333,0.24166666666666667,,,,0.9906666666666667,False,LIMITATION_ONLY_OR_APPENDIX_DIAGNOSTIC,"Random partitions estimate locked-test metric variability, not temporal deployment robustness."
taiwan,random_locked_test_partition_diagnostic,5,789.0,1200,0.5352112676056338,0.5735849056603773,0.8588235294117647,0.5700334477109772,0.7947210170517607,527.0,0.2833333333333333,0.014429804057336763,152,132,113,803,0.22083333333333333,0.2238847303111159,0.2077249906348365,0.48,0.2833333333333333,0.23666666666666666,,,,0.9843333333333333,False,LIMITATION_ONLY_OR_APPENDIX_DIAGNOSTIC,"Random partitions estimate locked-test metric variability, not temporal deployment robustness."
taiwan,random_locked_test_partition_diagnostic,1,2026.0,1200,0.5238095238095238,0.52,0.8594594594594595,0.5396431548462164,0.7845208845208845,524.5,0.32416666666666666,0.028743588761974557,143,130,132,795,0.22916666666666666,0.216886142401996,0.1911958606929671,0.4483333333333333,0.32416666666666666,0.2275,,,,0.971,False,LIMITATION_ONLY_OR_APPENDIX_DIAGNOSTIC,"Random partitions estimate locked-test metric variability, not temporal deployment robustness."
taiwan,random_locked_test_partition_diagnostic,2,2026.0,1200,0.5427509293680297,0.5637065637065637,0.869287991498406,0.5583586191107768,0.7789277815845298,563.0,0.3,0.021291645501744543,146,123,113,818,0.21583333333333332,0.21717837367171114,0.19839332428782863,0.47583333333333333,0.3,0.22416666666666665,,,,0.9836666666666667,False,LIMITATION_ONLY_OR_APPENDIX_DIAGNOSTIC,"Random partitions estimate locked-test metric variability, not temporal deployment robustness."
taiwan,random_locked_test_partition_diagnostic,3,2026.0,1200,0.5098039215686274,0.5864661654135338,0.8394004282655246,0.5389292208519654,0.7843256428007921,536.5,0.28583333333333333,0.016462519204766265,156,150,110,784,0.22166666666666668,0.22449841791983943,0.19975586159922493,0.45916666666666667,0.28583333333333333,0.255,,,,0.9855,False,LIMITATION_ONLY_OR_APPENDIX_DIAGNOSTIC,"Random partitions estimate locked-test metric variability, not temporal deployment robustness."
taiwan,random_locked_test_partition_diagnostic,4,2026.0,1200,0.5273972602739726,0.5767790262172284,0.8520900321543409,0.5753133713864074,0.7682779965557524,578.5,0.2841666666666667,0.02429369402056445,154,138,113,795,0.2225,0.2207368815237334,0.1986061968777383,0.4725,0.2841666666666667,0.24333333333333335,,,,0.989,False,LIMITATION_ONLY_OR_APPENDIX_DIAGNOSTIC,"Random partitions estimate locked-test metric variability, not temporal deployment robustness."
taiwan,random_locked_test_partition_diagnostic,5,2026.0,1200,0.5412541254125413,0.6307692307692307,0.8521276595744681,0.6184133948324467,0.8112459083469722,503.0,0.2816666666666667,0.0234097608409461,164,139,96,801,0.21666666666666667,0.22712164637189558,0.20625496187416437,0.4658333333333333,0.2816666666666667,0.2525,,,,0.9864999999999999,False,LIMITATION_ONLY_OR_APPENDIX_DIAGNOSTIC,"Random partitions estimate locked-test metric variability, not temporal deployment robustness."
heloc,row_order_locked_test_diagnostic,1,,395,0.7340425531914894,0.8734177215189873,0.5253164556962026,0.8563277884673188,0.8195801954814934,126.5,0.23544303797468355,0.062109221639807824,207,75,30,83,0.6,0.5576055540396682,0.24407174839010146,0.05063291139240506,0.23544303797468355,0.7139240506329114,0.0,0.0,0.0,0.930632911392405,False,LIMITATION_ONLY_OR_APPENDIX_DIAGNOSTIC,Row order is not verified application time; this is not temporal validation.
