dataset,study_name,trial_number,state,objective,primary_metric_pr_auc,cv_n_splits,cv_n_repeats,cv_total_folds,metric_pr_auc,metric_roc_auc,metric_recall,metric_brier_score,metric_fn_weighted_cost,metric_fn,metric_fp,metric_tp,metric_tn,metric_pr_auc_std,param_model_type,param_lgbm_n_estimators,param_lgbm_learning_rate,param_lgbm_num_leaves,param_lgbm_max_depth,param_lgbm_min_child_samples,param_lgbm_subsample,param_lgbm_colsample_bytree,param_lgbm_reg_alpha,param_lgbm_reg_lambda,param_lgbm_class_weight,param_cat_iterations,param_cat_depth,param_cat_learning_rate,param_cat_l2_leaf_reg,param_cat_random_strength,param_cat_bagging_temperature,param_xgb_n_estimators,param_xgb_max_depth,param_xgb_learning_rate,param_xgb_subsample,param_xgb_colsample_bytree,param_xgb_min_child_weight,param_xgb_reg_alpha,param_xgb_reg_lambda
taiwan,taiwan_pr_auc_optuna,47,COMPLETE,mean_cv_pr_auc,0.5670543366385156,5,3,15,0.5670543366385156,0.7876278468154382,0.36924291049559804,0.13266409313733887,2649.5333333333333,502.3333333333333,137.86666666666667,294.06666666666666,2665.733333333333,0.010924827951551372,catboost,,,,,,,,,,,350.0,5.0,0.018556461096925173,0.7683855997645351,0.4676884806070125,0.7687871301452968,,,,,,,,
taiwan,taiwan_pr_auc_optuna,48,COMPLETE,mean_cv_pr_auc,0.5594712709543515,5,3,15,0.5594712709543515,0.7836461863262071,0.6389580693093238,0.17570870395514476,2022.8,287.53333333333336,585.1333333333333,508.8666666666667,2218.4666666666667,0.01077882425469765,lightgbm,150.0,0.06941009468935341,75.0,5.0,137.0,0.7536089037025181,0.6729146235064,4.538478290167745,0.009300348327460998,balanced,,,,,,,,,,,,,,
taiwan,taiwan_pr_auc_optuna,49,COMPLETE,mean_cv_pr_auc,0.5682567832383222,5,3,15,0.5682567832383222,0.788581422789172,0.37301028353814236,0.13256405321684134,2638.6666666666665,499.3333333333333,142.0,297.06666666666666,2661.6,0.011581622071446201,catboost,,,,,,,,,,,400.0,6.0,0.020457361300593394,14.889451362018024,0.21228250016207126,1.0929127260090463,,,,,,,,
taiwan,taiwan_pr_auc_optuna,50,COMPLETE,mean_cv_pr_auc,0.5662738086670035,5,3,15,0.5662738086670035,0.7883181312546967,0.3727585018358207,0.13272278023668607,2639.5333333333333,499.53333333333336,141.86666666666667,296.8666666666667,2661.733333333333,0.010130487262329102,catboost,,,,,,,,,,,400.0,6.0,0.020157581954135008,6.3274022724746155,1.2904315397839603,1.266457758219913,,,,,,,,
taiwan,taiwan_pr_auc_optuna,51,COMPLETE,mean_cv_pr_auc,0.5671977782408352,5,3,15,0.5671977782408352,0.7883231464654926,0.37543846375331286,0.13258434798162602,2629.4,497.4,142.4,299.0,2661.2,0.01041164889028595,catboost,,,,,,,,,,,400.0,6.0,0.0252477519411944,14.634397153425427,0.1979502547646255,1.069906206969018,,,,,,,,
taiwan,taiwan_pr_auc_optuna,52,COMPLETE,mean_cv_pr_auc,0.5683900263317656,5,3,15,0.5683900263317656,0.7885943050710436,0.37225693503065316,0.1325621305978378,2641.8,499.93333333333334,142.13333333333333,296.46666666666664,2661.4666666666667,0.011793684121174005,catboost,,,,,,,,,,,400.0,6.0,0.0208593520011307,15.918621623881643,0.21786596828729207,0.9208509523004047,,,,,,,,
taiwan,taiwan_pr_auc_optuna,53,COMPLETE,mean_cv_pr_auc,0.5668858599415074,5,3,15,0.5668858599415074,0.7881610171484107,0.37083356977274495,0.13265303565375533,2645.9333333333334,501.06666666666666,140.6,295.3333333333333,2663.0,0.010892137746318722,catboost,,,,,,,,,,,400.0,7.0,0.016056907517290542,9.58167801997667,0.14844689930110652,0.8869631972529057,,,,,,,,
taiwan,taiwan_pr_auc_optuna,54,COMPLETE,mean_cv_pr_auc,0.5574712884177979,5,3,15,0.5574712884177979,0.7843799683073608,0.3757726314550587,0.13403662271347558,2634.4,497.1333333333333,148.73333333333332,299.26666666666665,2654.866666666667,0.010983854284618155,catboost,,,,,,,,,,,450.0,6.0,0.06390375349870313,14.38977036553793,0.15166250183779298,0.730376563471338,,,,,,,,
taiwan,taiwan_pr_auc_optuna,55,COMPLETE,mean_cv_pr_auc,0.5657849242146643,5,3,15,0.5657849242146643,0.7880294077492082,0.3756885641087075,0.13276428059770864,2630.4,497.2,144.4,299.2,2659.2,0.011397605490698943,catboost,,,,,,,,,,,400.0,6.0,0.03406294873050269,8.443708090940593,0.29740304587361366,0.9093221674176772,,,,,,,,
taiwan,taiwan_pr_auc_optuna,56,COMPLETE,mean_cv_pr_auc,0.557172716804217,5,3,15,0.557172716804217,0.7819564757713996,0.37192192665544366,0.13461108550895504,2650.5333333333333,500.2,149.53333333333333,296.2,2654.0666666666666,0.011758462139189954,xgboost,,,,,,,,,,,,,,,,,250.0,5.0,0.05312402743414441,0.7624990333551862,0.9076966930948278,5.0,0.0008639361620051436,0.42770153275029205
